created_at,entry_id,field1,field2,field3,field4
2024-06-12 09:19:39-06:00,1.0,0.0,0.0,,
2024-06-12 09:19:58-06:00,2.0,0.0,0.0,,
2024-06-12 09:20:18-06:00,3.0,0.0,0.0,,
2024-06-12 09:20:38-06:00,4.0,0.0,0.0,,
2024-06-12 09:20:58-06:00,5.0,0.0,0.0,,
2024-06-12 09:21:18-06:00,6.0,0.0,0.0,,
2024-06-12 09:21:38-06:00,7.0,0.0,0.0,,
2024-06-12 09:21:58-06:00,8.0,0.0,0.0,,
2024-06-12 09:22:18-06:00,9.0,0.0,0.0,,
2024-06-12 09:22:38-06:00,10.0,0.0,0.0,,
2024-06-12 09:22:59-06:00,11.0,0.0,0.0,,
2024-06-12 09:23:18-06:00,12.0,0.0,0.0,,
2024-06-12 09:23:38-06:00,13.0,0.0,0.0,,
2024-06-12 09:23:58-06:00,14.0,0.0,0.0,,
2024-06-12 09:24:18-06:00,15.0,0.0,0.0,,
2024-06-12 09:24:38-06:00,16.0,0.0,0.0,,
2024-06-12 09:24:58-06:00,17.0,0.0,0.0,,
2024-06-12 09:25:18-06:00,18.0,0.0,0.0,,
2024-06-12 09:25:38-06:00,19.0,0.0,0.0,,
2024-06-12 09:25:58-06:00,20.0,0.0,0.0,,
2024-06-12 09:26:18-06:00,21.0,0.0,0.0,,
2024-06-12 09:26:38-06:00,22.0,0.0,0.0,,
2024-06-12 09:26:58-06:00,23.0,0.0,0.0,,
2024-06-12 09:27:18-06:00,24.0,0.0,0.0,,
